rank: 0; group_size: 1
124873 32036.7 1.08028e+11 1.03012e+11 
126836 32822.6 1.07375e+11 1.03689e+11 
128812 33620.9 1.06717e+11 1.04363e+11 
130800 34431.7 1.06055e+11 1.05033e+11 
132801 35254.9 1.05389e+11 1.05698e+11 
134815 36090.8 1.04719e+11 1.06359e+11 
136841 36939.4 1.04045e+11 1.07017e+11 
138880 37800.7 1.03366e+11 1.07669e+11 
140931 38674.9 1.02683e+11 1.08318e+11 
142994 39562 1.01997e+11 1.08962e+11 
145070 40462.1 1.01306e+11 1.09602e+11 
147157 41375.3 1.00611e+11 1.10237e+11 
149257 42301.6 9.99124e+10 1.10869e+11 
151368 43241.2 9.92096e+10 1.11495e+11 
153492 44194.1 9.85029e+10 1.12118e+11 
155627 45160.3 9.77923e+10 1.12735e+11 
157774 46140 9.70778e+10 1.13349e+11 
159932 47133.2 9.63595e+10 1.13958e+11 
162102 48140 9.56373e+10 1.14562e+11 
164283 49160.5 9.49113e+10 1.15162e+11 
166475 50194.8 9.41816e+10 1.15757e+11 
168679 51242.8 9.34481e+10 1.16348e+11 
170894 52304.7 9.27109e+10 1.16934e+11 
173120 53380.6 9.197e+10 1.17515e+11 
175357 54470.6 9.12255e+10 1.18092e+11 
177605 55574.6 9.04773e+10 1.18664e+11 
179864 56692.8 8.97255e+10 1.19231e+11 
182133 57825.2 8.89702e+10 1.19794e+11 
184413 58971.9 8.82114e+10 1.20351e+11 
186704 60133 8.7449e+10 1.20904e+11 
189005 61308.5 8.66832e+10 1.21453e+11 
191316 62498.5 8.59139e+10 1.21996e+11 
193637 63703.1 8.51412e+10 1.22535e+11 
195969 64922.3 8.43651e+10 1.23068e+11 
198311 66156.2 8.35857e+10 1.23597e+11 
200663 67404.9 8.28029e+10 1.24121e+11 
203024 68668.4 8.20169e+10 1.2464e+11 
205396 69946.8 8.12276e+10 1.25154e+11 
207777 71240.1 8.0435e+10 1.25663e+11 
210168 72548.4 7.96393e+10 1.26167e+11 
212568 73871.8 7.88404e+10 1.26666e+11 
214978 75210.3 7.80384e+10 1.2716e+11 
217397 76564.1 7.72333e+10 1.27649e+11 
219825 77933 7.64251e+10 1.28132e+11 
222263 79317.3 7.56138e+10 1.28611e+11 
224709 80716.9 7.47996e+10 1.29085e+11 
227164 82131.9 7.39824e+10 1.29553e+11 
229629 83562.5 7.31622e+10 1.30017e+11 
232102 85008.5 7.23391e+10 1.30475e+11 
234583 86470.1 7.15132e+10 1.30928e+11 
237073 87947.4 7.06844e+10 1.31376e+11 
239572 89440.4 6.98528e+10 1.31818e+11 
242079 90949.1 6.90184e+10 1.32255e+11 
244594 92473.6 6.81813e+10 1.32687e+11 
247117 94014 6.73415e+10 1.33114e+11 
249648 95570.3 6.6499e+10 1.33536e+11 
252188 97142.5 6.56538e+10 1.33952e+11 
254735 98730.7 6.4806e+10 1.34363e+11 
